,0
0,1
1,1
2,1
3,0
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,1
23,0
24,0
25,1
26,0
27,1
28,1
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,1
57,1
58,1
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,0
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,1
158,1
159,1
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,0
194,0
195,0
196,1
197,1
198,0
199,1
200,0
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,0
211,1
212,1
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,1
230,0
231,1
232,0
233,0
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,1
250,0
251,1
252,1
253,0
254,0
255,1
256,1
257,1
258,1
259,0
260,1
261,1
262,0
263,0
264,0
265,1
266,1
267,1
268,0
269,0
270,1
271,1
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,1
294,1
295,0
296,0
297,1
298,1
299,0
300,0
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,0
309,1
310,1
311,0
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,0
330,0
331,0
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,0
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,0
358,0
359,1
360,0
361,0
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,1
379,1
380,0
381,1
382,1
383,0
384,1
385,1
386,0
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,1
427,0
428,1
429,1
430,0
431,0
432,0
433,1
434,0
435,1
436,0
437,0
438,0
439,0
440,1
441,0
442,0
443,1
444,1
445,0
446,1
447,1
448,0
449,0
450,0
451,1
452,1
453,1
454,1
455,1
456,0
457,1
458,0
459,0
460,1
461,0
462,0
463,1
464,0
465,1
466,1
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,0
476,1
477,1
478,1
479,0
480,1
481,1
482,0
483,1
484,0
485,0
486,0
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,0
501,1
502,0
503,1
504,0
505,0
506,1
507,1
508,0
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,1
519,1
520,0
521,0
522,0
523,1
524,1
525,1
526,0
527,1
528,0
529,1
530,1
531,0
532,0
533,0
534,1
535,0
536,1
537,0
538,0
539,1
540,1
541,1
542,1
543,0
544,1
545,1
546,1
547,0
548,0
549,1
550,0
551,0
552,1
553,0
554,1
555,0
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,1
564,1
565,0
566,1
567,1
568,1
569,0
570,0
571,0
572,1
573,1
574,0
575,0
576,0
577,1
578,0
579,0
580,1
581,1
582,0
583,1
584,0
585,1
586,0
587,0
588,0
589,0
590,1
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,1
599,0
600,1
601,0
602,1
603,0
604,1
605,1
606,0
607,1
608,1
609,0
610,1
611,0
612,1
613,0
614,0
615,0
616,1
617,0
618,1
619,1
620,0
621,1
622,0
623,1
624,1
625,0
626,0
627,0
628,0
629,1
630,0
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,1
640,1
641,1
642,1
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,1
651,0
652,1
653,0
654,1
655,0
656,0
657,0
658,0
659,1
660,1
661,1
662,0
663,0
664,1
665,1
666,0
667,1
668,1
669,0
670,1
671,0
672,1
673,1
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,1
690,0
691,1
692,1
693,0
694,0
695,1
696,0
697,0
698,0
699,1
700,1
701,0
702,1
703,0
704,1
705,0
706,1
707,1
708,1
709,0
710,0
711,0
712,1
713,0
714,0
715,1
716,0
717,0
718,1
719,0
720,1
721,0
722,0
723,0
724,1
725,0
726,1
727,1
728,0
729,0
730,1
731,1
732,1
733,0
734,0
735,0
736,0
737,1
738,1
739,1
740,0
741,0
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,0
750,0
751,0
752,1
753,1
754,0
755,1
756,1
757,0
758,1
759,1
760,0
761,0
762,1
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,0
771,0
772,0
773,0
774,1
775,0
776,1
777,0
778,0
779,0
780,1
781,1
782,1
783,1
784,0
785,0
786,0
787,1
788,0
789,1
790,0
791,0
792,1
793,1
794,1
795,1
796,0
797,0
798,1
799,1
800,1
801,0
802,1
803,1
804,0
805,1
806,0
807,1
808,0
809,0
810,1
811,0
812,0
